tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,102,260974,,Q,Michela Castro Zunino,U,,PER,,222655,,WC,Maria Victoria Marchesini,R,,ARG,22.3,6-4 3-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,1087,14
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,103,214238,,,Verena Meliss,U,,ITA,26.5,211646,,,Oana Georgeta Simion,R,,ROU,27.8,6-3 6-1,3,R64,,,,,,,,,,,,,,,,,,,,790,38,817,34
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,106,206037,,,Daniela Seguel,U,171,CHI,31.1,206406,,,Berta Bonardi,R,,ARG,28.5,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,,670,57,686,54
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,107,260708,,WC,Justina Maria Gonzalez Daniele,U,,ARG,,223336,,,Weronika Baszak,R,,POL,21.3,7-6(3) 6-2,3,R64,,,,,,,,,,,,,,,,,,,,1118,12,803,37
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,110,213849,,SR,Nicole Fossa Huergo,U,,ITA,28.6,223367,,,Maria Fernanda Navarro,U,,MEX,27.5,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,671,57,,
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,111,260709,,,Sol Ailin Larraya Guidi,R,,ARG,15.9,261957,,,Candela Vazquez,U,,ARG,,6-0 5-7 6-4,3,R64,,,,,,,,,,,,,,,,,,,,915,24,914,24
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,114,220578,,Q,Julia Konishi Camargo Silva,U,,BRA,23.9,236958,,Q,Julia Caffarena,U,,ARG,17.9,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,927,23,,
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,115,220446,,,Jazmin Ortenzi,R,,ARG,22.1,214060,,,Yuliana Monroy,U,,COL,25.3,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,,762,42,681,54
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,118,219663,,,Lauren Proctor,U,,USA,27.0,260150,,Q,Francesca Mattioli,U,,ITA,17.5,6-4 7-6(3),3,R64,,,,,,,,,,,,,,,,,,,,838,32,,
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,119,206345,,WC,Victoria Bosio,R,,ARG,29.3,238065,,,Noelia Zeballos Melgar,U,,BOL,29.7,6-1 7-6(4),3,R64,,,,,,,,,,,,,,,,,,,,985,18,,
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,122,220684,,Q,Jimar Geraldine Gerald Gonzalez,R,,CHI,22.0,222838,,WC,Sol Rabin,U,,ARG,,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,,1182,10,1310,5
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,123,216075,,Q,Jessica Bertoldo,U,,ITA,31.3,258191,,,Ana Grubor,U,,CAN,20.0,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,,1062,14,866,29
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,126,220351,,,Luiza Fullana,U,,BRA,22.7,222305,,,Romina Ccuno,R,,PER,21.3,6-1 4-6 7-6(5),3,R64,,,,,,,,,,,,,,,,,,,,897,26,711,50
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,127,221657,,Q,Camilla Zanolini,U,,ITA,20.8,236968,,,Lourdes Ayala,U,,ARG,17.5,5-7 6-2 6-1,3,R64,,,,,,,,,,,,,,,,,,,,984,18,808,36
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,130,219625,,,Fernanda Labrana,R,,CHI,24.8,236967,,,Carla Markus,U,,ARG,17.7,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,798,37,853,30
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,131,214713,,Q,Camila Romero,R,175,ECU,25.2,215971,,,Ania Hertel,R,,POL,23.2,6-2 6-7(2) 6-1,3,R64,,,,,,,,,,,,,,,,,,,,993,18,809,35
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,201,221333,1,WC,Solana Sierra,R,,ARG,19.5,260974,,Q,Michela Castro Zunino,U,,PER,,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,,174,434,,
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,202,214238,,,Verena Meliss,U,,ITA,26.5,252488,14,,Ana Candiotto,U,,BRA,19.7,7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,,790,38,598,75
2024-W-ITF-ARG-02A-2024,W35 Buenos Aires,Clay,48,35,20240122,203,206037,,,Daniela Seguel,U,171,CHI,31.1,214136,11,,Melany Solange Krywoj,R,,ARG,25.9,7-6(2) 6-1,3,R32,,,,,,,,,,,,,,,,,,,,670,57,526,96
